bear_id,date,num_points,centroid_x,centroid_y,min_x,max_x,min_y,max_y,sex,age,season,total_distance,avg_speed
Bear10,2013-04-05,24,425600.97702916665,684648.9789666667,425360.5598,425732.7413,683880.609,685071.177,M,A,Den exit and reproduction,2714.3788356771415,118.01647111639745
Bear10,2013-04-06,23,425995.83874782623,683935.8560608696,425373.3049,426551.869,683859.2299,684040.9549,M,A,Den exit and reproduction,3167.9667609684248,143.9984891349284
Bear10,2013-04-07,19,424692.51686315786,683089.3735947369,422476.4384,425867.9107,682115.1975,684182.0453,M,A,Den exit and reproduction,9950.731715283062,552.8184286268367
Bear10,2013-04-08,16,425741.3103125,683923.6886499999,425367.5842,426183.9512,683861.9997,684018.8631,M,A,Den exit and reproduction,1863.621859190634,124.24145727937561
Bear10,2013-04-09,21,425631.0623666666,684244.9209904762,425362.8407,425803.2107,683665.5625,684479.0274,M,A,Den exit and reproduction,2527.1111415388364,126.35555707694182
Bear10,2013-04-10,24,425698.8300583333,684266.7888416667,425351.0662,425874.95,683906.4847,684501.2905,M,A,Den exit and reproduction,1839.785011342494,79.99065266706496
Bear10,2013-04-11,19,425695.964,684211.0650736842,425233.845,425856.3855,683939.6521,684329.3515,M,A,Den exit and reproduction,1507.8753020798797,83.77085011554887
Bear10,2013-04-12,23,426151.76420000003,684042.6606826086,425301.2253,426597.8854,683706.3879,685134.7886,M,A,Den exit and reproduction,6333.541576825391,287.8882534920632
Bear10,2013-04-13,22,425970.9302454545,684753.9275181819,425003.3096,427189.9292,683804.1161,685423.6702,M,A,Den exit and reproduction,4497.574275051505,214.17020357388117
Bear10,2013-04-14,20,425747.2402,683878.1879299999,425002.6651,428357.2177,683163.7184,685246.9944,M,A,Den exit and reproduction,7132.478403182977,375.3936001675251
Bear10,2013-04-15,22,425664.8079181818,684185.2012272727,425364.1701,425852.7988,683892.706,684390.3799,M,A,Den exit and reproduction,1982.8440478251978,94.42114513453323
Bear10,2013-04-16,23,424658.1192652175,684223.0675782608,424096.1874,425418.9712,683911.8398,685146.5118,M,A,Den exit and reproduction,4419.754443073453,200.8979292306115
Bear10,2013-04-17,22,425709.01135909086,684463.6830090908,425356.2324,426008.6013,683831.4776,685942.2937,M,A,Den exit and reproduction,4293.736802800227,204.4636572762013
Bear10,2013-04-18,22,428148.4804545454,687668.7091227273,425813.5244,429560.0046,687533.6624,687909.2073,M,A,Den exit and reproduction,4755.686749429549,226.46127378235948
